,id,lat,lon,temperature,humidity,wind_speed,wind_direction,cloud_cover
0,1,38.8466444,-91.9479613,29.55,56,2.24,279,0
1,2,39.06825,-91.89616,30.34,50,4.12,240,0
2,3,39.22655,-91.72179,30.41,50,4.12,240,0
3,4,39.44037,-91.63602,30.24,30,3.25,186,0
4,5,39.60602,-91.40507,30.37,45,2.57,200,0
5,6,39.80164,-91.29948,30.24,47,3.09,200,0
6,7,40.04515,-91.28466,30.22,49,3.09,200,0
7,8,40.26163,-91.12282,29.8,33,3.36,178,0
8,9,40.41849,-90.96382,29.88,36,3.26,169,0
9,10,40.50148,-90.70504,29.53,55,3.53,162,0
10,11,40.74302,-90.67925,29.93,42,3.67,168,0
11,12,40.99654,-90.63216,29.75,55,1.79,180,0
12,13,41.24222,-90.58596,28.7,47,3.8,174,0
13,14,41.47548,-90.60698,28.46,62,3.09,180,0
14,15,41.61655,-90.78267,27.87,63,3.09,180,0
15,16,41.64575,-91.13714,29.28,56,3.62,177,14
16,17,41.68648,-91.48793,29.16,56,2.57,140,0
17,18,41.84822,-91.6673,28.8,57,4.12,180,0
18,19,42.10187,-91.70222,29.17,56,4.92,210,14
19,20,42.29249,-91.9535,28.92,57,7.72,200,0
20,21,42.4502,-92.2255,29.38,55,5.14,200,0
21,22,42.64709,-92.33757,29.09,56,5.14,200,0
22,23,42.91009,-92.31716,29.91,54,5.72,200,25
23,24,43.15999,-92.29881,29.18,54,5.77,203,72
24,25,43.42993,-92.29855,28.2,61,5.68,204,97
25,26,43.67019,-92.38949,27.45,65,3.09,180,75
26,27,43.88514,-92.48804,27.66,59,5.66,230,0
27,28,44.13451,-92.52452,27.74,62,4.63,210,0
28,29,44.34301,-92.62748,26.81,64,2.24,152,100
29,30,44.56818,-92.5312,25.35,74,4.63,120,0
